objectid,rec_bldg,park_name,address,city,zipcode,square_feet,year_built,adult_center,comfort_station,comp_room,dance_room,game_room,gymnasium,kiln,kiln_room,kitchen,multi_purpose,racquetball,stage,teen_center,tiny_tot_room,weight_room,neighborhood,cd,service_district,indoor_bball,indoor_vball,indoor_pickleball,notes,maint_entity,community,facility_name_id,globalid,x,y
49,Balboa Park Activity Center,Balboa Park,2145 Park Bl,San Diego,92101,37970,1999,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,BALBOA PARK,3,0,0,6,5,,DRP,BALBOA PARK,10263,{A8493598-6645-49D1-8075-FDCAD0C2B143},6285572.931683138012886,1845389.095295563340187
50,So. Clairemont Rec Center,South Clairmont Community Park,3605 Clairemont Dr,San Diego,92117,6560,1955,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,BAY PARK,2,44,0,0,0,,CP1,CLAIREMONT MESA,771,{F34BD9F6-03C4-4310-827C-9DE0F2BFF2D5},6269604.112570971250534,1874506.697493314743042
51,North Clairemont Rec Center,North Clairemont Community Park,4421 Bannock Av,San Diego,92117,9810,1961,0,0,0,0,1,1,1,1,1,3,0,0,0,0,0,NORTH CLAIREMONT,2,44,1,1,2,,CP1,CLAIREMONT MESA,555,{E9D3128F-C261-4208-A339-45F48A89C7FE},6270645.455960720777512,1883966.436775892972946
52,Skyline Rec Center,Skyline Community Park,8285 Skyline Dr,San Diego,92114,10810,1970,0,0,0,0,0,1,0,0,1,2,0,0,1,0,1,JAMACHA LOMITA,4,43,3,1,0,,CP2,SKYLINE-PARADISE HILLS,758,{0F707D4E-4D4F-4077-9121-A19F37744D46},6322900.900006055831909,1837426.422900721430779
53,Montgomery-Waller Rec Center,Montgomery-Waller Community Park,3020 Coronado Av,San Diego,92154,10850,1991,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,OTAY MESA WEST,8,42,1,1,0,,CP2,OTAY MESA-NESTOR,9937,{46B90B04-9450-4B06-B174-3CEECBDBCA8F},6309483.858598724007607,1791400.682275220751762
54,Silver Wing Rec Center,Silver Wing Park,3737 Arey Dr,San Diego,92123,2030,1976,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,OTAY MESA WEST,8,42,0,0,0,,CP2,OTAY MESA-NESTOR,1233,{C807CBBE-C3D9-43BC-ACBA-BE815C2B8BBA},6314149.592049390077591,1790950.752072721719742
55,Dolores Magdaleno Memorial Rec Center,Memorial Community Park,2902 Marcy Av,San Diego,92113,14140,1994,0,0,0,0,1,1,1,1,1,3,0,0,1,0,1,LOGAN HEIGHTS,8,42,3,0,0,,CP2,SOUTHEASTERN SAN DIEGO,496,{F794478E-B386-4405-9015-6CD2133FBE64},6290771.120105639100075,1834816.397937059402466
56,Stockton Rec Center,"Martin Luther King, Jr. Elementary School",330 32nd St,San Diego,92102,17000,1978,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,STOCKTON,9,42,0,0,0,,CP2,SOUTHEASTERN SAN DIEGO,1264,{3B71B96B-EE48-49C5-AB6D-78E3A758B4A7},6292355.920741796493530,1838947.329963892698288
57,Pacific Highlands Ranch Rec Center,Pacific Highlands Ranch Community Park,5977 Village Loop Rd,San Diego,92130,17393,2019,0,2,0,1,1,1,0,0,1,2,0,0,0,0,0,PACIFIC HIGHLANDS RANCH,1,40,2,2,6,,CP1,PACIFIC HIGHLANDS RANCH,10961,{CDE0C985-E12A-41EA-AD69-D35626299E90},6274203.381915718317032,1930361.211112141609192
58,Park de la Cruz Gymnasium & Community Center,Park de la Cruz Neighbohood Park,3901 Landis Steet St,San Diego,92105,,2019,0,1,1,1,0,1,0,0,1,4,0,0,0,0,1,CITY HEIGHTS,9,41,3,3,2,,CP2,MID-CITY: CITY HEIGHTS,10751,{782DF8A3-1BE2-4B4E-8131-85A56025FC59},6297135.754029884934425,1852197.742111310362816
59,Bay TerracesCommunity & Senior Center,Bay Terraces CP,7445 Tooma St,San Diego,92139,5220,2020,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,BAY TERRACES,4,43,0,0,0,,CP2,SKYLINE-PARADISE HILLS,10997,{5A70CBE5-B243-4732-A14A-AC5D6AD024FD},6319939.754681631922722,1828395.917667806148529
60,San Ysidro Teen Center,San Ysidro CP,101 W. San Ysidro Blvd.,San Diego,92173,4048,1924,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,SAN YSIDRO,8,42,0,0,0,,CP2,SAN YSIDRO,473,{6B8E95D4-F761-400C-BD74-41D5BBF3CCBF},6316903.735163137316704,1781802.415382564067841
61,Cathy Hopper Friendship Senior Center,North Clairemont CP,4425 Bannock Avenue,San Diego,92117,,,,,,,,,,,,,,,,,,NORTH CLAIREMONT,2,44,0,0,0,Standalone Senior Center,CP1,CLAIREMONT MESA,,{B0CAE8C7-6506-4C2D-AC97-12BBDB9A564B},6270869.743569880723953,1884041.933672145009041
