service_type,org,name,common_name,full_name,address,city,state,zip,lat,lon,acres,use_restriction,dedicated_park,community,service_district,playground,tot_lot,baseball_50_6,baseball_90,softball,multi_purpose,basketball,tennis,sand_vball,comfort_station,pickleball,source
park,City of San Diego Parks & Recreation,Palm Ridge Neighborhood Park,PALM RIDGE NP,Palm Ridge Neighborhood Park,"751 Firethorn St., 92154",San Diego,CA,92154,32.58274849,-117.03925401999997,8.15386161,DEDIC PK/OS--ORD.,Y,OTAY MESA-NESTOR,42.0,1,0,0,1,1,1,1,0,0,1,0,Parks_SD
park,City of San Diego Parks & Recreation,Tourmaline Surfing Park,TOURMALINE SURFING NP,Tourmaline Surfing Park,"601 Tourmaline Street, 92109",San Diego,CA,92109,32.80641255,-117.26305601,7.99260657,DEDIC PK/OS--ORD.,Y,PACIFIC BEACH,0.0,0,0,0,0,0,0,0,0,0,1,0,Parks_SD
park,City of San Diego Parks & Recreation,Crest Canyon Neighborhood Park,CREST CYN NP (Undeveloped),Crest Canyon Neighborhood Park,"2250 Del Mar Heights Road, 92130",San Diego,CA,92130,32.95034103,-117.25402101,10.44022159,DEDIC PK/OS--ORD.,Y,TORREY PINES,40.0,0,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Del Sur Neighborhood Park,DEL SUR NEIGHBORHOOD PARK,Del Sur Neighborhood Park,"15800 Block of Paseo Montenero,",San Diego,CA,15800,,,5.03600641,NONE,N,BLACK MOUNTAIN RANCH,40.0,1,0,0,0,0,1,1,1,0,1,0,Parks_SD
park,City of San Diego Parks & Recreation,Bedlow Neighborhood Park,BEDLOW NP (undeveloped),Bedlow Neighborhood Park,6800 block of Monte Verde Dr.  92119,San Diego,CA,92119,32.811713010000005,-117.04852199,2.89043119,NONE,N,NAVAJO,45.0,0,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Lindbergh Neighborhood Park,LINDBERGH NP,Lindbergh Neighborhood Park,"4141 Ashford Street, 92111",San Diego,CA,92111,32.818980769999996,-117.16228492,7.98108111,DEDIC PK/OS--ORD.,Y,CLAIREMONT MESA,45.0,1,0,0,0,0,1,2,0,0,1,0,Parks_SD
park,City of San Diego Parks & Recreation,Cherokee Point Neighborhood Park,CHEROKEE POINT NP,Cherokee Point Neighborhood Park,"3901 Landis St., 92105",San Diego,CA,92105,32.7466225,-117.11226734,1.48325374,DEDIC PK/OS--ORD.,N,MID-CITY: CITY HEIGHTS,41.0,1,1,0,0,0,0,0,0,0,1,0,Parks_SD
park,City of San Diego Parks & Recreation,Adams Ave. Community Park & Recreation Center,ADAMS AVENUE CP & REC CENTER,Adams Ave. Community Park & Recreation Center,"3491 Adams Ave., 92116",San Diego,CA,92116,32.762999990000004,-117.11780132,1.46054256,DEDIC PK/OS--ORD.,Y,MID-CITY: NORMAL HEIGHTS,41.0,0,1,0,0,1,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Nestor Neighborhood Park,NESTOR NP,Nestor Neighborhood Park,"2423 Grove Ave., 92154",San Diego,CA,92154,32.57141738,-117.08121676,4.98771184,DEDIC PK/OS--ORD.,Y,OTAY MESA-NESTOR,42.0,1,0,0,0,0,1,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Pacific Highlands Ranch Community Park & Recreation Center,PACIFIC HIGHLANDS RANCH CP & REC CENTER,Pacific Highlands Ranch Community Park & Recreation Center,5977 Village Center Loop Rd.  92130,San Diego,CA,92130,,,13.50488129,PARK PER DEED,N,PACIFIC HIGHLANDS RANCH,40.0,1,1,0,0,1,1,2,0,0,0,2,Parks_SD
park,City of San Diego Parks & Recreation,Chollas Parkway Open Space Park,CHOLLAS PARKWAY OPEN SPACE,Chollas Parkway Open Space Park,"2891 EUCLID AVE, 92105",San Diego,CA,92105,32.736607930000005,-117.08732131,34.89563626,NONE,N,MID-CITY: CITY HEIGHTS,41.0,0,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Ocean Beach Regional Park (Saratoga & Brighton),OCEAN BEACH REGIONAL PARK,Ocean Beach Regional Park (Saratoga & Brighton),Wet end of Brighton St.  92107,San Diego,CA,92107,,,32.70761898,DEDIC PK/OS-ORD,Y,OCEAN BEACH,0.0,0,0,0,0,0,0,0,0,10,2,0,Parks_SD
park,City of San Diego Parks & Recreation,Fault Line Park,FAULT LINE PARK,Fault Line Park,14th and J Streets,San Diego,CA,,,,1.25207869,PARK PER DEED,N,DOWNTOWN,45.0,2,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,San Carlos Pocket Park,SAN CARLOS POCKET NP,San Carlos Pocket Park,"6599 E LAKE DR, 92119",San Diego,CA,92119,32.80116204,-117.00640321,0.41436976,NONE,N,NAVAJO,45.0,0,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,East Clairemont Athletic Area,E CLAIREMONT ATHL AREA,East Clairemont Athletic Area,"3451 Mt. Acadia Boulevard, 92111",San Diego,CA,92111,32.803565909999996,-117.18328214,9.13068389,DEDIC PK/OS--ORD.,,CLAIREMONT MESA,44.0,1,0,1,0,3,0,0,0,0,1,0,Parks_SD
park,City of San Diego Parks & Recreation,Tuxedo Neighborhood Park,TUXEDO NP,Tuxedo Neighborhood Park,"6978 Tuxedo Rd., 92119",San Diego,CA,92119,32.81019647,-117.0472157,10.0805059,DEDIC PK/OS--ORD.,Y,NAVAJO,45.0,1,1,0,0,0,0,1,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,32nd Street Mini-Park,32ND ST MP (Undeveloped),32nd Street Mini-Park,"3145 32ND ST., 92104",San Diego,CA,92104,32.738133100000006,-117.12530915,0.138711,DEDIC PK/OS--ORD.,Y,GREATER NORTH PARK,41.0,0,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Nobel Athletic Area & Recreation Center,NOBEL ATHLETIC AREA & REC CENTER,Nobel Athletic Area & Recreation Center,"8810 Judicial Drive, 92121",San Diego,CA,92121,32.867275979999995,-117.19966337,29.12469045,NONE,N,UNIVERSITY,44.0,2,1,0,0,2,2,1,0,0,1,2,Parks_SD
