tract_geoid,economic_coverage,economic_score,education_score,education_coverage,health_coverage,health_score,housing_coverage,housing_score,safety_env_coverage,safety_env_score,mobility_connectivity_coverage,mobility_connectivity_score,youth_supports_coverage,youth_supports_score,yoi_raw_0_1,yoi_0_100,service_count,services_per_10k,total_population
06073008344,1.0,0.8134070490670352,0.5,0.0,1.0,0.7514166972003962,1.0,0.8593103448275862,0.0,,1.0,0.8217025268357556,1.0,0.5443041702289351,,,8,23.121387283236995,3460
06073008344,1.0,0.8134070490670352,0.5,0.0,1.0,0.7514166972003962,1.0,0.8593103448275862,0.0,,1.0,0.8217025268357556,1.0,0.5443041702289351,,,8,23.121387283236995,3460
06073008344,1.0,0.8134070490670352,0.5,0.0,1.0,0.7514166972003962,1.0,0.8593103448275862,0.0,,1.0,0.8217025268357556,1.0,0.5443041702289351,,,8,23.121387283236995,3460
06073008344,1.0,0.8134070490670352,0.5,0.0,1.0,0.7514166972003962,1.0,0.8593103448275862,0.0,,1.0,0.8217025268357556,1.0,0.5443041702289351,,,8,23.121387283236995,3460
06073008345,1.0,0.5418106427090532,0.5,0.0,1.0,0.6424857169998236,1.0,0.8622413793103448,0.0,,1.0,0.8027419967702099,1.0,0.5010283081599696,,,8,19.029495718363464,4204
06073013401,1.0,0.6199032480995162,0.5,0.0,1.0,0.43716443431176966,1.0,0.38241379310344825,0.0,,1.0,0.47326185047971886,1.0,0.16092001519901206,,,3,6.423982869379015,4670
06073013409,1.0,0.7201105736005529,0.5,0.0,1.0,0.4006878231486382,1.0,0.3293103448275862,0.0,,1.0,0.23594708843925144,1.0,0.4299938254013489,,,8,13.104013104013104,6105
06073015601,1.0,0.14720110573600553,0.5,0.0,1.0,0.17811274410020492,1.0,0.2886206896551724,0.0,,1.0,0.19474992875463099,1.0,0.33593331433456824,,,6,10.148849797023004,5912
06073015701,1.0,0.010020732550103717,0.5,0.0,1.0,0.06725712114426849,1.0,0.0743103448275862,0.0,,1.0,0.0365284506507077,1.0,0.19018428802127862,,,4,6.287331027978623,6362
06073008348,1.0,0.7059433310297167,0.5,0.0,1.0,0.725926325503128,1.0,0.5772413793103448,0.0,,1.0,0.4370734777239479,1.0,0.775148190367626,,,19,38.50050658561297,4935
06073008348,1.0,0.7059433310297167,0.5,0.0,1.0,0.725926325503128,1.0,0.5772413793103448,0.0,,1.0,0.4370734777239479,1.0,0.775148190367626,,,19,38.50050658561297,4935
06073008348,1.0,0.7059433310297167,0.5,0.0,1.0,0.725926325503128,1.0,0.5772413793103448,0.0,,1.0,0.4370734777239479,1.0,0.775148190367626,,,19,38.50050658561297,4935
06073008348,1.0,0.7059433310297167,0.5,0.0,1.0,0.725926325503128,1.0,0.5772413793103448,0.0,,1.0,0.4370734777239479,1.0,0.775148190367626,,,19,38.50050658561297,4935
06073008349,1.0,0.5929509329647547,0.5,0.0,1.0,0.6203683724843599,1.0,0.47310344827586204,0.0,,1.0,0.603129334093284,1.0,0.2594946328488648,,,4,10.465724751439037,3822
06073008351,1.0,0.7277125086385625,0.5,0.0,1.0,0.680180081151868,1.0,0.5336206896551724,0.0,,1.0,0.35818371805832616,1.0,0.15574760140590863,,,3,6.227942702927133,4817
06073008352,1.0,0.751209398756047,0.5,0.0,1.0,0.6197201074787281,1.0,0.42551724137931035,0.0,,1.0,0.4155899116557424,1.0,0.2439773914695545,,,4,9.711094925952901,4119
06073008353,1.0,0.6171389080856946,0.5,0.0,1.0,0.7029483369295281,1.0,0.6208620689655173,0.0,,1.0,0.5477897311674741,1.0,0.5695872518286311,,,10,20.824656393169512,4802
06073015801,1.0,0.15065653075328267,0.5,0.0,1.0,0.14048426495134958,1.0,0.14568965517241378,0.0,,1.0,0.43018785028973117,1.0,0.26397739146955446,,,4,10.937927262783703,3657
06073015901,1.0,0.04975812024879056,0.5,0.0,1.0,0.13222027711055925,1.0,0.022068965517241357,0.0,,1.0,0.38533295335803175,1.0,0.05720148190367626,,,1,2.6659557451346307,3751
06073015902,1.0,0.08604008293020038,0.5,0.0,1.0,0.05698828861838264,1.0,0.1036206896551724,0.0,,1.0,0.2589902156359836,1.0,0.39434573002754825,,,7,12.879484820607177,5435
06073016000,1.0,0.1116102280580511,0.5,0.0,1.0,0.3009428815698408,1.0,0.31,0.0,,1.0,0.5756191222570533,1.0,0.15251187422817516,,,2,8.456659619450317,2365
06073008355,1.0,0.7577747062888736,0.5,0.0,1.0,0.7308062261667277,1.0,0.5287931034482758,0.0,,1.0,0.6537862163959343,1.0,0.29070152940058896,,,4,12.9324280633689,3093
06073008355,1.0,0.7577747062888736,0.5,0.0,1.0,0.7308062261667277,1.0,0.5287931034482758,0.0,,1.0,0.6537862163959343,1.0,0.29070152940058896,,,4,12.9324280633689,3093
06073008355,1.0,0.7577747062888736,0.5,0.0,1.0,0.7308062261667277,1.0,0.5287931034482758,0.0,,1.0,0.6537862163959343,1.0,0.29070152940058896,,,4,12.9324280633689,3093
06073008355,1.0,0.7577747062888736,0.5,0.0,1.0,0.7308062261667277,1.0,0.5287931034482758,0.0,,1.0,0.6537862163959343,1.0,0.29070152940058896,,,4,12.9324280633689,3093
06073008356,1.0,0.5162404975812025,0.5,0.0,1.0,0.7132471603631478,1.0,0.47551724137931034,0.0,,1.0,0.5459667996580222,1.0,0.01826327538709984,,,0,0.0,3950
06073008357,1.0,0.15514858327574288,0.5,0.0,1.0,0.5973122175630012,1.0,0.37741379310344825,0.0,,1.0,0.2933107722998005,1.0,0.48637313574617647,,,8,17.36111111111111,4608
06073008357,1.0,0.15514858327574288,0.5,0.0,1.0,0.5973122175630012,1.0,0.37741379310344825,0.0,,1.0,0.2933107722998005,1.0,0.48637313574617647,,,8,17.36111111111111,4608
06073008357,1.0,0.15514858327574288,0.5,0.0,1.0,0.5973122175630012,1.0,0.37741379310344825,0.0,,1.0,0.2933107722998005,1.0,0.48637313574617647,,,8,17.36111111111111,4608
06073008357,1.0,0.15514858327574288,0.5,0.0,1.0,0.5973122175630012,1.0,0.37741379310344825,0.0,,1.0,0.2933107722998005,1.0,0.48637313574617647,,,8,17.36111111111111,4608
06073008358,1.0,0.3565998617829993,0.5,0.0,1.0,0.49719931061623857,1.0,0.36051724137931035,0.0,,1.0,0.2149567778094424,1.0,0.5728234539754915,,,12,18.39926402943882,6522
06073008359,1.0,0.5331720801658604,0.5,0.0,1.0,0.602432249046669,1.0,0.3268965517241379,0.0,,1.0,0.28190462619929707,1.0,0.09975325353851999,,,2,4.518752824220515,4426
06073016401,1.0,0.49723565998617825,0.5,0.0,1.0,0.2963951200314837,1.0,0.4027586206896552,0.0,,1.0,0.43951220670656405,1.0,0.6083406953548018,,,12,22.181146025878,5410
06073016100,1.0,0.5573600552868003,0.5,0.0,1.0,0.2791446484549933,1.0,0.3925862068965517,0.0,,1.0,0.31914743041702287,1.0,0.5088975966562174,,,10,15.595757953836557,6412
06073016202,1.0,0.1762266758811334,0.5,0.0,1.0,0.2558932812224348,1.0,0.19241379310344825,0.0,,1.0,0.41541084829486086,1.0,0.6933190842595232,,,13,33.137904664797354,3923
06073016301,1.0,0.06254319281271592,0.5,0.0,1.0,0.12823990012077785,1.0,0.15155172413793105,0.0,,1.0,0.25284838985465946,1.0,0.2125980811247269,,,4,8.186655751125665,4886
06073016302,1.0,0.029025570145127855,0.5,0.0,1.0,0.0977690021577169,1.0,0.14500000000000002,0.0,,1.0,0.16262349197302173,1.0,0.33834710743801655,,,6,10.37344398340249,5784
06073003209,1.0,0.8559087767795439,0.5,0.0,1.0,0.46606820556663814,1.0,0.25655172413793104,0.0,,1.0,0.18408022228555143,1.0,0.4449938254013489,,,8,15.160128861095318,5277
06073003209,1.0,0.8559087767795439,0.5,0.0,1.0,0.46606820556663814,1.0,0.25655172413793104,0.0,,1.0,0.18408022228555143,1.0,0.4449938254013489,,,8,15.160128861095318,5277
06073003209,1.0,0.8559087767795439,0.5,0.0,1.0,0.46606820556663814,1.0,0.25655172413793104,0.0,,1.0,0.18408022228555143,1.0,0.4449938254013489,,,8,15.160128861095318,5277
