tract_geoid,economic_score,economic_coverage,education_score,education_coverage,health_score,health_coverage,housing_score,housing_coverage,safety_env_score,safety_env_coverage,mobility_connectivity_score,mobility_connectivity_coverage,youth_supports_score,youth_supports_coverage,yoi_raw_0_1,yoi_0_100
06073003213,0.6352459016393442,1.0,,0.0,0.6997732426303855,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.036005501250703814,1.0,0.4675860933528976,46.758609335289755
06073017107,0.7438524590163935,1.0,,0.0,0.8582766439909296,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.5496792475470513,1.0,0.6627820196113827,66.27820196113828
06073008360,0.5566939890710383,1.0,,0.0,0.4775510204081632,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.7029850746268657,1.0,0.5591374529993058,55.91374529993058
06073008502,0.18442622950819676,1.0,,0.0,0.48140589569161,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.7165905168037364,1.0,0.47043559247367484,47.04355924736748
06073008504,0.40915300546448086,1.0,,0.0,0.6038548752834467,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.9218296273733374,1.0,0.6085393090031054,60.85393090031054
06073008505,0.42622950819672134,1.0,,0.0,0.40453514739229024,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.8579689677770701,1.0,0.5470133378143095,54.70133378143095
06073016502,0.08333333333333337,1.0,,0.0,0.16643990929705219,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.3714479550300446,1.0,0.28013523138789664,28.013523138789665
06073017104,0.6837431693989071,1.0,,0.0,0.6975056689342404,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.6627368722251452,1.0,0.6358263596123623,63.582635961236235
06073003214,0.6693989071038251,1.0,,0.0,0.4741496598639456,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.036005501250703814,1.0,0.41971844902740774,41.97184490274077
06073003301,0.11885245901639341,1.0,,0.0,0.16507936507936508,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.8077912847635662,1.0,0.3977607091876203,39.77607091876203
06073003303,0.1598360655737705,1.0,,0.0,0.15736961451247167,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.2048297473670608,1.0,0.2553387888361148,25.533878883611482
06073003403,0.16530054644808745,1.0,,0.0,0.10657596371882087,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.6026204783134421,1.0,0.34345417909287673,34.345417909287676
06073008506,0.3162568306010929,1.0,,0.0,0.5619047619047618,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.10868846860318075,1.0,0.371542447250048,37.1542447250048
06073008507,0.3592896174863388,1.0,,0.0,0.45396825396825397,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.6934612651030562,1.0,0.5015097161122013,50.15097161122013
06073008509,0.6147540983606558,1.0,,0.0,0.5648526077097507,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.7267945984363895,1.0,0.6014302580994881,60.14302580994881
06073008510,0.45628415300546443,1.0,,0.0,0.57437641723356,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.3440270816603439,1.0,0.46850184494763125,46.85018449476313
06073008512,0.4480874316939891,1.0,,0.0,0.6859410430839002,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.7819409446275118,1.0,0.6038222868241394,60.38222868241394
06073017108,0.6980874316939891,1.0,,0.0,0.8126984126984128,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.293476956589963,1.0,0.5758956322183804,57.589563221838034
06073017303,0.7076502732240437,1.0,,0.0,0.8174603174603176,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.3200075688348609,1.0,0.5861094718525947,58.61094718525946
06073003404,0.6837431693989071,1.0,,0.0,0.09319727891156467,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.8213136543626949,1.0,0.5243934576410807,52.43934576410807
06073003501,0.08333333333333337,1.0,,0.0,0.03945578231292516,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.11617146180045967,1.0,0.18457007633446865,18.457007633446864
06073003502,0.051912568306010876,1.0,,0.0,0.023809523809523798,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.5516000701501769,1.0,0.281660472539217,28.1660472539217
06073003602,0.17008196721311475,1.0,,0.0,0.12947845804988664,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.5992191177692244,1.0,0.34952481773084554,34.95248177308456
06073003603,0.15573770491803274,1.0,,0.0,0.07891156462585032,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.2320406317208023,1.0,0.24150240728896044,24.150240728896044
06073008513,0.7438524590163935,1.0,,0.0,0.746938775510204,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.9409233978530354,1.0,0.7327585900676974,73.27585900676974
06073008600,0.3319672131147541,1.0,,0.0,0.30430839002267573,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.886822381598501,1.0,0.5056044281567718,50.56044281567718
06073008701,0.2622950819672131,1.0,,0.0,0.6040816326530613,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.8580483482402459,1.0,0.5559361976879191,55.59361976879191
06073008702,0.20696721311475408,1.0,,0.0,0.3408163265306123,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.8647716888655055,1.0,0.477968739100507,47.7968739100507
06073017305,0.7076502732240437,1.0,,0.0,0.8839002267573696,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.2231970943058363,1.0,0.5785168305446016,57.85168305446015
06073018621,0.6489071038251366,1.0,,0.0,0.2519274376417234,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.31299301267318325,1.0,0.4282868205077999,42.828682050779996
06073009108,0.657103825136612,1.0,,0.0,0.5986394557823129,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.15766806043991544,1.0,0.4781827673124992,47.818276731249924
