the_geom,objectid,stop_uid,stop_agency,stop_id,stop_name,lat,lon,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place
POINT (-117.047113549726 32.754963730235),"4,106",MTS_10696,MTS,10696,University Av & Lois St,32.75496373,-117.04711355,10696.0,0,,1.0,F-E/B,
POINT (-117.089864639687 32.704275420389),"2,114",MTS_11375,MTS,11375,Imperial Av & 49th St,32.70427542,-117.08986464,11375.0,0,,1.0,F-W/B,
POINT (-117.085144889726 32.712552960053),"1,570",MTS_11750,MTS,11750,Euclid Av & Guymon St,32.71255296,-117.08514489,11750.0,0,,1.0,N-S/B,
POINT (-117.205530159904 32.75063385038),"3,662",MTS_10802,MTS,10802,Rosecrans St & Midway Dr,32.75063385,-117.20553016,10802.0,0,,1.0,M-Street-S/B,rosmid
POINT (-117.085841819784 32.770277720221),"2,921",MTS_11009,MTS,11009,Montezuma Rd & Collwood Bl,32.77027772,-117.08584182,11009.0,0,,1.0,N-W/B,
POINT (-117.270861340461 32.815814530305),"2,346",MTS_11503,MTS,11503,La Jolla Bl & Bird Rock Av,32.81581453,-117.27086134,11503.0,0,,1.0,N-S/B,
POINT (-117.102480000466 33.112715000113),"4,809",NCTD_20740,NCTD,20740,Valley Pkwy & Auto Park Wy,33.112715,-117.10248,20740.0,0,,,F-S/B,
POINT (-117.062439760365 32.785267630277),"1,155",MTS_12566,MTS,12566,College Av & Rockhurst Dr,32.78526763,-117.06243976,12566.0,0,,1.0,N-N/B,
POINT (-117.456104999685 33.299999000013),"5,481",NCTD_22166,NCTD,22166,Las Flores & Boy Scout Camp,33.299999,-117.456105,22166.0,0,,,F-S/B,
POINT (-117.236524830155 32.782698939815),"2,179",MTS_12324,MTS,12324,Ingraham St & La Cima Dr,32.78269894,-117.23652483,12324.0,0,,1.0,N-N/B,
POINT (-117.288298000238 33.185092999703),"4,865",NCTD_20878,NCTD,20878,Thunder Dr & Vista Way,33.185093,-117.288298,20878.0,0,,,N-S/B,thuviS
POINT (-117.291260000042 33.210491999909),"5,771",NCTD_24002,NCTD,24002,Avenida De La Plata & Plaza Real (South),33.210492,-117.29126,24002.0,0,,,M-Street-E/B,
POINT (-117.156407229914 32.71648316045),423,MTS_12438,MTS,12438,9th Av & C St,32.71648316,-117.15640723,12438.0,0,,1.0,N-N/B,9thc
POINT (-117.013946760087 32.714878009728),"2,299",MTS_11476,MTS,11476,Jamacha Rd & Sweetwater Rd,32.71487801,-117.01394676,11476.0,0,,1.0,M-Street-W/B,
POINT (-117.290811999523 33.13839899967),"5,812",NCTD_24115,NCTD,24115,Faraday Av & Newton Dr,33.138399,-117.290812,24115.0,0,,,F-W/B,
POINT (-117.066169780329 32.569813750256),"2,211",MTS_91017,MTS,91017,Iris Avenue Transit Center,32.56981375,-117.06616978,91017.0,0,iritro,0.0,M-TC-Bus,iritro
POINT (-117.119190659826 32.701370430339),"3,097",MTS_11324,MTS,11324,Ocean View Bl & 35th St,32.70137043,-117.11919066,11324.0,0,,0.0,F-W/B,
POINT (-117.057850300168 32.993669069893),"3,542",MTS_40781,MTS,40781,Pomerado Rd & Via Monte Claro,32.99366907,-117.0578503,40781.0,0,,0.0,F-N/B,
POINT (-117.138129749894 32.830168130234),"1,171",MTS_13073,MTS,13073,Complex Dr & 8806,32.83016813,-117.13812975,13073.0,0,,2.0,M-Street-W/B,
POINT (-117.284237000536 33.207218000166),"4,550",NCTD_20230,NCTD,20230,Oceanside Blvd & Collge Blvd,33.207218,-117.284237,20230.0,0,,,F-E/B,
POINT (-117.163038380518 32.721054500005),199,MTS_11640,MTS,11640,2nd Av & Beech St,32.7210545,-117.16303838,11640.0,0,,1.0,N-S/B,
POINT (-117.072482600172 32.569081880206),"2,199",MTS_60048,MTS,60048,Iris Av & Monterey Pine Dr,32.56908188,-117.0724826,60048.0,0,,1.0,N-E/B,
POINT (-117.132445720523 32.913950450236),"2,776",MTS_10542,MTS,10542,Mira Mesa Bl & Greenford Dr,32.91395045,-117.13244572,10542.0,0,,1.0,F-E/B,
POINT (-117.05758700049 33.130739999802),"6,001",NCTD_24970,NCTD,24970,E. Grand Av & Rose St,33.13074,-117.057587,24970.0,0,,,F-W/B,
POINT (-117.114364009518 32.580423830417),426,MTS_60278,MTS,60278,9th St & Elm Av,32.58042383,-117.11436401,60278.0,0,,1.0,F-S/B,
POINT (-117.011930160243 32.801280859824),"2,447",MTS_11818,MTS,11818,Lake Murray Bl & Lynnhaven Ln,32.80128086,-117.01193016,11818.0,0,,1.0,N-S/B,
POINT (-116.929104480327 32.856216960121),"4,377",MTS_40222,MTS,40222,Woodside Av & Erwin Ln,32.85621696,-116.92910448,40222.0,0,,1.0,F-E/B,
POINT (-117.002448870452 32.801883209703),"3,071",MTS_10736,MTS,10736,Navajo Rd & Medford St,32.80188321,-117.00244887,10736.0,0,,1.0,F-E/B,
POINT (-117.040927740454 32.621712990161),"1,325",MTS_30197,MTS,30197,E Naples St & Nacion Av,32.62171299,-117.04092774,30197.0,0,,1.0,N-W/B,
POINT (-117.112867409856 32.584067830323),"3,315",MTS_60138,MTS,60138,Palm Av & Emory St,32.58406783,-117.11286741,60138.0,0,,1.0,N-W/B,
POINT (-117.09049538958 32.659280999854),222,MTS_50037,MTS,50037,30th St & Highland Av,32.659281,-117.09049539,50037.0,0,,1.0,F-E/B,30high
POINT (-117.069827459594 32.569074850143),"2,197",MTS_60091,MTS,60091,Iris Av & Monterey Park Dr,32.56907485,-117.06982746,60091.0,0,,1.0,F-E/B,
POINT (-117.322229000457 33.175282999591),"4,856",NCTD_20851,NCTD,20851,Avenida De Anita & Avenida De Louisa,33.175283,-117.322229,20851.0,0,,,N-E/B,
POINT (-117.231566170511 32.799925059746),"1,853",MTS_11141,MTS,11141,Grand Av & Noyes St,32.79992506,-117.23156617,11141.0,0,,1.0,F-W/B,
POINT (-117.272843329928 32.841285379609),"1,798",MTS_11827,MTS,11827,Girard Av & Torrey Pines Rd,32.84128538,-117.27284333,11827.0,0,,1.0,M-Street-S/B,
POINT (-117.019262959932 32.69705953041),"3,391",MTS_99320,MTS,99320,Paradise Valley Rd & Worthington St,32.69705953,-117.01926296,99320.0,0,,1.0,M-Street-E/B,
POINT (-116.759405369959 33.231837599648),"2,024",MTS_98042,MTS,98042,Hwy 76 & Lake Henshaw Resort,33.2318376,-116.75940537,98042.0,0,,2.0,M-Special_Loc,
POINT (-117.081056039601 33.018864629752),"4,280",MTS_13155,MTS,13155,West Bernardo Dr & W Bernardo Ct (Sharp Urgent Car,33.01886463,-117.08105604,13155.0,0,,1.0,M-Street-N/B,
POINT (-117.298399999961 33.261074999765),"4,972",NCTD_21115,NCTD,21115,Vandergrift Blvd & Parker St,33.261075,-117.2984,21115.0,0,,,F-S/B,vandep
POINT (-117.404351999529 33.251479000149),"5,122",NCTD_21474,NCTD,21474,Stuart Mesa & Mitchell,33.251479,-117.404352,21474.0,0,,,N-S/B,
POINT (-117.140775720367 32.711710200163),"2,649",MTS_11275,MTS,11275,Market St & 25th St,32.7117102,-117.14077572,11275.0,0,,1.0,F-W/B,
POINT (-117.020523100005 32.717022149585),"2,273",MTS_11810,MTS,11810,Jamacha Rd & Darby St,32.71702215,-117.0205231,11810.0,0,,2.0,N-E/B,
POINT (-117.265016000358 33.23790000018),"4,763",NCTD_20662,NCTD,20662,N Santa Fe Av & Darwin Dr,33.2379,-117.265016,20662.0,0,,,F-N/B,
POINT (-117.232071999881 33.225040000275),"4,669",NCTD_20486,NCTD,20486,Arcadia Av & Anza Av,33.22504,-117.232072,20486.0,0,,,N-W/B,
POINT (-117.080146280395 32.698566639741),"3,188",MTS_11391,MTS,11391,Olvera Av & Santa Isabel Dr,32.69856664,-117.08014628,11391.0,0,,1.0,M-Street-W/B,
POINT (-117.317621000037 33.25323800014),"5,630",NCTD_22633,NCTD,22633,Douglas Dr & Festival Dr,33.253238,-117.317621,22633.0,0,,,F-N/B,
