GEOID,NAME,youth_10_19,services_per_1k_youth_10_19,median_hh_income_2023usd,zero_veh_share,severity_score,priority_tier,suitability_score
06073005201,52.01,106.0,0.0,105271.0,0.1274842462433349,0.4850511895098708,Medium,0.4675727944113791
06073005403,54.03,50.0,80.0,140388.0,0.090032154340836,0.3504801700962109,Low,0.1710962148393576
06073005403,54.03,50.0,80.0,140388.0,0.090032154340836,0.3504801700962109,Low,0.1710962148393576
06073005403,54.03,50.0,80.0,140388.0,0.090032154340836,0.3504801700962109,Low,0.1710962148393576
06073005403,54.03,50.0,80.0,140388.0,0.090032154340836,0.3504801700962109,Low,0.1710962148393576
06073005402,54.02,49.0,20.40816326530612,131332.0,0.09935532802427,0.42715432139347026,Medium,0.20445071073531143
06073005301,53.01,142.0,0.0,74775.0,0.260253164556962,0.5364864200348031,Medium,0.5660011118535829
06073005802,58.02,0.0,,143182.0,0.0306236080178173,,,
06073005801,58.01,13.0,0.0,100909.0,0.1784565916398713,0.4871236506856754,Medium,0.421821770855012
06073004102,41.02,255.0,0.0,75000.0,0.0375586854460093,0.5243288902047789,Medium,0.45879370994870894
06073000902,9.02,108.0,0.0,83678.0,0.1579626047711154,0.5090206484537179,Medium,0.42689318304414864
06073004101,41.01,189.0,0.0,56931.0,0.0656966490299823,0.5107399329903853,Medium,0.46006108502624327
06073005202,52.02,19.0,0.0,58140.0,0.2879784688995215,0.536227615206406,Medium,0.4699085957458856
06073001202,12.02,91.0,0.0,102857.0,0.0482558139534883,0.4698040866586787,Medium,0.4385104926560206
06073000901,9.01,127.0,0.0,106133.0,0.1132447070408665,0.48122488752914827,Medium,0.442086253284271
06073019109,191.09,589.0,0.0,122083.0,0.0252491694352159,0.49850085208970624,Medium,0.4274950557779236
06073017111,171.11,278.0,0.0,195667.0,0.0,0.4120872098816125,Medium,0.398684912878157
06073017059,170.59,270.0,0.0,89516.0,0.0254027261462205,0.4945027219255717,Medium,0.3879965873546745
06073021402,214.02,260.0,0.0,97470.0,0.0394842868654311,0.49538032162828927,Medium,0.5120710448077523
06073020042,200.42,1030.0,0.0,110199.0,0.0467016929363689,0.5519249100979117,Medium,0.4321786365242085
06073017112,171.12,501.0,0.0,201667.0,0.0359281437125748,0.4834003281264647,Medium,0.3802721813364419
06073020031,200.31,1507.0,0.0,119681.0,0.0076404494382022,0.5367659781267493,Medium,0.46359504617570413
06073017113,171.13,1191.0,0.0,125595.0,0.0115638766519823,0.5272937503504639,Medium,0.4418979476842077
06073013323,133.23,1060.0,0.0,167715.0,0.0,0.46732423358334974,Medium,0.4364887547520616
06073020043,200.43,1002.0,0.0,189265.0,0.0572562358276644,0.4796503676000729,Medium,0.409254954275432
06073016618,166.18,330.0,0.0,100000.0,0.02735368956743,0.4942023982139162,Medium,0.37610874975607556
06073020110,201.10,1230.0,0.0,136468.0,0.0023584905660377,0.4847347656157041,Medium,0.46538655836625803
06073001802,18.02,95.0,21.052631578947366,82013.0,0.1147816349384098,0.47078278907842347,Medium,0.13923206068206198
06073001802,18.02,95.0,21.052631578947366,82013.0,0.1147816349384098,0.47078278907842347,Medium,0.13923206068206198
06073005302,53.02,128.0,15.625,86250.0,0.2644119907763259,0.5052996653121796,Medium,0.23994780805442573
06073005302,53.02,128.0,15.625,86250.0,0.2644119907763259,0.5052996653121796,Medium,0.23994780805442573
06073001302,13.02,155.0,12.903225806451612,83659.0,0.0378640776699029,0.4723339987994987,Medium,0.17413592411153136
06073001302,13.02,155.0,12.903225806451612,83659.0,0.0378640776699029,0.4723339987994987,Medium,0.17413592411153136
06073001201,12.01,139.0,0.0,68750.0,0.1261922230374174,0.5215140904489661,Medium,0.42437875199865643
06073021305,213.05,401.0,0.0,132475.0,0.0378378378378378,0.47871100878786943,Medium,0.40285398463445354
06073021101,211.01,595.0,0.0,59684.0,0.0118413262285375,0.534037670224486,Medium,0.46002193665143143
06073013322,133.22,903.0,0.0,166563.0,0.0,0.48933920878609427,Medium,0.42975842170663514
06073015706,157.06,334.0,0.0,33640.0,0.1672771672771672,0.5840441399099856,Medium,0.399465640512962
06073015705,157.05,531.0,0.0,60256.0,0.0368550368550368,0.5371095714721585,Medium,0.4182825330823359
06073015408,154.08,400.0,0.0,99673.0,0.0384336475707034,0.4990450068558934,Medium,0.4121483557522234
06073013425,134.25,379.0,0.0,188339.0,0.0,0.47208758904615533,Medium,0.3730815324807538
06073021001,210.01,30.0,0.0,59885.0,0.0415512465373961,0.4911220787780418,Medium,0.38215125890990437
06073013423,134.23,591.0,0.0,144375.0,0.0423076923076923,0.5048348584948622,Medium,0.40092314713295896
06073013320,133.20,1106.0,0.0,123000.0,0.0265306122448979,0.5087997197529597,Medium,0.41619205860542335
06073013424,134.24,979.0,0.0,160263.0,0.0116772823779193,0.47447269995503316,Medium,0.444210577061153
06073016403,164.03,940.0,0.0,81083.0,0.0947176684881603,0.5558678184264499,Medium,0.46144282419745175
06073020812,208.12,422.0,0.0,51121.0,0.0062344139650872,0.5658980406054329,Medium,0.4071158925229926
06073021102,211.02,369.0,0.0,52212.0,0.0459652706843718,0.5443914245303405,Medium,0.4037549842577405
06073010016,100.16,4.0,0.0,,,,,0.4007793318152545
06073013316,133.16,1154.0,0.0,141364.0,0.0320569902048085,0.4921684513445145,Medium,0.4508030196508857
06073019111,191.11,663.0,0.0,125366.0,0.0024650780608052,0.4961785943472231,Medium,0.4319681837134583
06073019110,191.10,706.0,0.0,130402.0,0.0136518771331058,0.49109832402306614,Medium,0.4325931848650089
06073013315,133.15,617.0,0.0,139476.0,0.0,0.49106527130055105,Medium,0.4013322318779875
