tract_geoid,NAME,NAMELSAD,median_hh_income,poverty_rate_pct,pct_hh_zero_vehicle,pct_hh_no_internet,total_population,opportunity_index_acs
06073017057,170.57,Census Tract 170.57,173750.0,4.2,2.67022696929239,1.335113484646195,3831,86.82783010041277
06073021502,215.02,Census Tract 215.02,176076.0,7.3,4.724159797083069,1.5218769816106532,9042,81.8089575637693
06073007601,76.01,Census Tract 76.01,93785.0,10.9,6.570048309178745,0.0,1750,65.39983104885779
06073008373,83.73,Census Tract 83.73,219271.0,5.7,3.541185527328714,0.0,3446,94.55449964413987
06073017201,172.01,Census Tract 172.01,193348.0,2.9,1.6170212765957446,3.3191489361702122,2266,88.89848823249925
06073007911,79.11,Census Tract 79.11,115134.0,5.8,11.02775693923481,0.0,2347,68.81434845114197
06073018102,181.02,Census Tract 181.02,87976.0,8.4,0.8870967741935484,4.758064516129032,2525,64.35581900977037
06073008201,82.01,Census Tract 82.01,129688.0,6.0,6.825938566552901,3.299203640500569,1763,69.72652410469887
06073020035,200.35,Census Tract 200.35,172092.0,2.4,0.5840071877807728,5.795148247978436,6246,82.4632633764595
06073020032,200.32,Census Tract 200.32,163000.0,2.1,2.074074074074074,0.0,3313,89.98960956565635
06073020033,200.33,Census Tract 200.33,115682.0,9.3,1.7241379310344827,1.7241379310344827,4259,72.72321003813104
06073020030,200.30,Census Tract 200.30,180625.0,12.7,6.7201221840397105,0.8018327605956471,8502,76.74651025347522
06073008377,83.77,Census Tract 83.77,79444.0,29.7,14.536082474226806,2.0618556701030926,1927,33.3962968241358
06073008379,83.79,Census Tract 83.79,65625.0,36.6,26.318593500266385,7.778369738945125,4035,1.676177566867842
06073018202,182.02,Census Tract 182.02,82875.0,14.7,1.6170212765957446,2.9787234042553195,3520,60.12437838427741
06073018616,186.16,Census Tract 186.16,66733.0,11.8,10.575635876840696,8.634538152610443,3333,40.1747720072711
06073010018,100.18,Census Tract 100.18,139643.0,2.4,2.3629489603024574,1.3232514177693762,6695,83.09920554142616
06073005102,51.02,Census Tract 51.02,85541.0,16.9,20.48417132216015,8.845437616387338,4673,27.5079665691253
06073005101,51.01,Census Tract 51.01,64155.0,25.5,19.284294234592444,1.4579191517561298,3618,30.59483475569646
06073017901,179.01,Census Tract 179.01,72901.0,10.0,9.631578947368421,0.4736842105263158,3956,58.53406041049012
06073022102,221.02,Census Tract 221.02,143056.0,7.3,1.3818181818181818,1.3454545454545455,7322,80.20973796937515
06073017070,170.70,Census Tract 170.70,195865.0,4.8,3.642172523961661,0.8306709265175719,5322,89.84392399334259
06073008380,83.80,Census Tract 83.80,92583.0,12.2,0.43747721472839957,0.5103900838497994,6512,69.76012449964372
06073018301,183.01,Census Tract 183.01,72230.0,3.7,3.731343283582089,1.3059701492537312,889,69.11798951250867
06073017902,179.02,Census Tract 179.02,72863.0,22.6,0.0,11.204911742133538,2869,38.196884862871805
06073007912,79.12,Census Tract 79.12,113724.0,4.9,5.3627760252365935,0.0,1795,75.56323137871566
06073007602,76.02,Census Tract 76.02,129764.0,12.8,12.081984897518879,1.9417475728155338,1435,60.22748494495451
06073013327,133.27,Census Tract 133.27,144328.0,8.8,7.893175074183977,1.8991097922848663,5851,70.9736690193151
06073017606,176.06,Census Tract 176.06,97412.0,6.0,3.869407496977025,4.836759371221282,3600,64.75673506197273
06073017605,176.05,Census Tract 176.05,135797.0,7.2,9.83858570330515,5.380476556495004,3745,62.64207369208716
06073013321,133.21,Census Tract 133.21,148068.0,9.4,0.44943820224719105,0.0,8375,82.55652249879822
06073020038,200.38,Census Tract 200.38,157069.0,7.5,0.0,1.2566137566137565,5232,84.04443248583031
06073000301,3.01,Census Tract 3.01,79605.0,15.5,8.991228070175438,4.312865497076023,2487,48.42710983008829
06073005103,51.03,Census Tract 51.03,24125.0,42.8,40.66073697585769,22.61753494282084,3045,0.0
06073020712,207.12,Census Tract 207.12,135163.0,6.7,2.3537323470073974,0.0,4177,80.79033328465371
06073005401,54.01,Census Tract 54.01,185814.0,6.5,13.705583756345177,0.0,1813,77.14235226638375
06073005601,56.01,Census Tract 56.01,58924.0,28.1,33.87710712343665,13.594344752582927,2525,0.0
06073000302,3.02,Census Tract 3.02,89850.0,10.0,4.455724760293289,4.906937394247039,2925,59.05622796282493
06073001801,18.01,Census Tract 18.01,70682.0,7.6,2.1691973969631237,1.0845986984815619,1805,67.37999521057603
06073015002,150.02,Census Tract 150.02,59313.0,18.2,13.835956917978459,0.0,2876,45.012706776219474
06073015001,150.01,Census Tract 150.01,79883.0,27.1,2.697616060225847,6.398996235884567,4466,40.94432485720182
06073014701,147.01,Census Tract 147.01,97788.0,10.0,4.825737265415549,2.4128686327077746,3698,64.46430003100264
06073014702,147.02,Census Tract 147.02,115790.0,2.0,5.62003665241295,14.294441050702506,4251,52.63442246994436
06073010201,102.01,Census Tract 102.01,108250.0,30.5,3.940455341506129,1.5761821366024518,3562,49.90093657332443
06073020711,207.11,Census Tract 207.11,146250.0,7.7,1.5384615384615385,0.6477732793522267,3626,81.46185910642204
06073010202,102.02,Census Tract 102.02,103247.0,9.2,2.814814814814815,13.111111111111112,3473,49.102269629203185
06073009307,93.07,Census Tract 93.07,114604.0,9.9,4.666917576213775,0.0,4328,71.88589531408832
06073021002,210.02,Census Tract 210.02,104274.0,3.6,2.512562814070352,0.0,1649,78.26579839229308
06073009203,92.03,Census Tract 92.03,128707.0,13.5,0.0,0.0,4302,76.03328847197861
06073009204,92.04,Census Tract 92.04,163877.0,2.6,1.9345238095238095,1.1160714285714286,4133,87.82761537701202
06073009308,93.08,Census Tract 93.08,87995.0,3.1,10.43956043956044,4.761904761904762,4224,58.820016344590016
06073007401,74.01,Census Tract 74.01,81477.0,10.5,7.360226468506724,1.840056617126681,2745,59.53563136764887
06073007303,73.03,Census Tract 73.03,115000.0,4.0,0.7592190889370932,0.0,1712,81.60926421417258
06073021401,214.01,Census Tract 214.01,102350.0,10.1,2.327127659574468,0.5319148936170213,4242,71.23272115599477
06073021501,215.01,Census Tract 215.01,,0.9,1.6921837228041903,0.0,3892,89.31877153694795
06073005201,52.01,Census Tract 52.01,105271.0,14.3,12.748424624333495,5.138148327678139,3207,48.27407762390867
06073005403,54.03,Census Tract 54.03,140388.0,3.3,9.003215434083602,0.0,2407,77.55263751634202
06073005402,54.02,Census Tract 54.02,131332.0,12.1,9.935532802427002,0.0,4506,66.95182813505632
06073005301,53.01,Census Tract 53.01,74775.0,22.8,26.025316455696203,8.556962025316455,3313,14.782531336976449
06073005802,58.02,Census Tract 58.02,143182.0,5.2,3.0623608017817374,4.955456570155902,2830,73.84886607428727
06073005801,58.01,Census Tract 58.01,100909.0,10.4,17.845659163987136,1.4469453376205788,1703,52.19566461023886
06073004102,41.02,Census Tract 41.02,75000.0,41.1,3.755868544600939,2.3474178403755865,2169,33.41398781007149
06073000902,9.02,Census Tract 9.02,83678.0,14.7,15.79626047711154,10.444874274661508,2661,31.43891559828513
06073004101,41.01,Census Tract 41.01,56931.0,6.6,6.569664902998236,2.8659611992945324,4163,58.00191006942713
06073005202,52.02,Census Tract 52.02,58140.0,27.2,28.797846889952154,7.326555023923445,5108,7.146659097483395
06073001202,12.02,Census Tract 12.02,102857.0,15.9,4.825581395348837,4.651162790697675,2966,55.89273980063025
06073000901,9.01,Census Tract 9.01,106133.0,13.6,11.324470704086657,5.071393402264894,3951,50.728949857157225
06073019109,191.09,Census Tract 191.09,122083.0,9.7,2.524916943521595,20.398671096345513,4300,39.046998201538926
06073017111,171.11,Census Tract 171.11,195667.0,1.9,0.0,1.1961722488038278,4321,95.77345254063279
06073017059,170.59,Census Tract 170.59,89516.0,9.7,2.540272614622057,2.168525402726146,3498,66.27278917169451
06073021402,214.02,Census Tract 214.02,97470.0,14.2,3.94842868654311,5.801772763900081,3056,55.4340506609774
06073020042,200.42,Census Tract 200.42,110199.0,3.4,4.670169293636894,1.1675423234092235,4452,75.00317850856646
06073017112,171.12,Census Tract 171.12,201667.0,2.5,3.592814371257485,0.0,2268,94.47150837909491
06073020031,200.31,Census Tract 200.31,119681.0,9.4,0.7640449438202248,0.0,6575,77.44228678771974
06073017113,171.13,Census Tract 171.13,125595.0,1.2,1.1563876651982379,2.4229074889867843,5544,81.17603303008957
06073013323,133.23,Census Tract 133.23,167715.0,4.4,0.0,0.0,7172,90.93021227219155
06073020043,200.43,Census Tract 200.43,189265.0,8.2,5.72562358276644,0.0,5468,84.84346168704884
06073016618,166.18,Census Tract 166.18,100000.0,3.3,2.735368956743003,1.3994910941475827,3592,75.06827303269895
06073020110,201.10,Census Tract 201.10,136468.0,11.0,0.2358490566037736,1.650943396226415,8900,76.40959152971185
06073001802,18.02,Census Tract 18.02,82013.0,11.8,11.478163493840986,4.087346024636059,3248,49.92263336713635
06073005302,53.02,Census Tract 53.02,86250.0,5.9,26.44119907763259,9.531129900076865,4116,29.998356346070846
06073001302,13.02,Census Tract 13.02,83659.0,8.0,3.7864077669902914,1.407766990291262,3245,66.8561283412537
06073001201,12.01,Census Tract 12.01,68750.0,10.3,12.619222303741745,4.5487894350697,2290,46.99850317037853
06073021305,213.05,Census Tract 213.05,132475.0,1.3,3.783783783783784,3.3204633204633205,3936,77.77263498049348
06073021101,211.01,Census Tract 211.01,59684.0,18.7,1.1841326228537596,13.617525162818236,4652,33.93770194927087
06073013322,133.22,Census Tract 133.22,166563.0,0.6,0.0,0.0,4594,94.21892932999762
06073015706,157.06,Census Tract 157.06,33640.0,29.7,16.727716727716725,2.8083028083028085,2551,21.973071006530386
06073015705,157.05,Census Tract 157.05,60256.0,20.7,3.6855036855036856,4.013104013104013,4270,46.71743017059633
06073015408,154.08,Census Tract 154.08,99673.0,7.1,3.843364757070341,4.713560551124003,4107,64.37819609398356
06073013425,134.25,Census Tract 134.25,188339.0,2.6,0.0,0.0,1987,96.0468134660731
06073021001,210.01,Census Tract 210.01,59885.0,6.0,4.1551246537396125,3.508771929824561,1872,60.520725355868294
06073013423,134.23,Census Tract 134.23,144375.0,1.4,4.230769230769231,13.365384615384615,3315,61.16793396848975
06073013320,133.20,Census Tract 133.20,123000.0,3.6,2.6530612244897958,0.0,6850,81.26098021268436
06073013424,134.24,Census Tract 134.24,160263.0,2.9,1.167728237791932,0.583864118895966,6647,88.73424508486055
