GEOID,NAME,pop_total,youth_5_17,youth_10_19,youth_5_17_per_1k,youth_10_19_per_1k,median_hh_income_2023usd,households_total,households_zero_veh,zero_veh_share
Geography,Geographic Area Name,,,,,,,,,
06073004900,Census Tract 49; San Diego County; California,5166.0,1137.0,735.0,220.09291521486642,142.27642276422765,46533.0,1611.0,242.0,0.15021725636250777
06073005000,Census Tract 50; San Diego County; California,1897.0,368.0,254.0,193.99051133368476,133.8956246705324,39050.0,668.0,173.0,0.25898203592814373
06073005101,Census Tract 51.01; San Diego County; California,3618.0,548.0,318.0,151.46489773355444,87.89386401326699,64155.0,1509.0,291.0,0.19284294234592445
06073005102,Census Tract 51.02; San Diego County; California,4673.0,0.0,0.0,0.0,0.0,85541.0,3222.0,660.0,0.2048417132216015
06073005103,Census Tract 51.03; San Diego County; California,3045.0,451.0,383.0,148.11165845648605,125.7799671592775,24125.0,787.0,320.0,0.40660736975857686
06073005201,Census Tract 52.01; San Diego County; California,3207.0,106.0,106.0,33.052697224820704,33.052697224820704,105271.0,2063.0,263.0,0.12748424624333496
06073005202,Census Tract 52.02; San Diego County; California,5108.0,27.0,19.0,5.2858261550509,3.7196554424432264,58140.0,3344.0,963.0,0.28797846889952156
06073005301,Census Tract 53.01; San Diego County; California,3313.0,70.0,142.0,21.12888620585572,42.86145487473589,74775.0,1975.0,514.0,0.260253164556962
06073005302,Census Tract 53.02; San Diego County; California,4116.0,95.0,128.0,23.080660835762878,31.09815354713314,86250.0,1301.0,344.0,0.2644119907763259
06073005401,Census Tract 54.01; San Diego County; California,1813.0,0.0,0.0,0.0,0.0,185814.0,1182.0,162.0,0.13705583756345177
06073005402,Census Tract 54.02; San Diego County; California,4506.0,30.0,49.0,6.657789613848203,10.87438970261873,131332.0,2637.0,262.0,0.09935532802427001
06073005403,Census Tract 54.03; San Diego County; California,2407.0,23.0,50.0,9.555463232239301,20.77274615704196,140388.0,1555.0,140.0,0.09003215434083602
06073005500,Census Tract 55; San Diego County; California,295.0,40.0,76.0,135.59322033898306,257.6271186440678,,16.0,0.0,0.0
06073005601,Census Tract 56.01; San Diego County; California,2525.0,116.0,116.0,45.94059405940594,45.94059405940594,58924.0,1839.0,623.0,0.3387710712343665
06073005602,Census Tract 56.02; San Diego County; California,2117.0,16.0,0.0,7.557864903164856,0.0,100397.0,1381.0,50.0,0.036205648081100654
06073005700,Census Tract 57; San Diego County; California,2154.0,43.0,102.0,19.96285979572888,47.353760445682454,75181.0,925.0,200.0,0.21621621621621623
06073005801,Census Tract 58.01; San Diego County; California,1703.0,7.0,13.0,4.110393423370523,7.633587786259542,100909.0,1244.0,222.0,0.17845659163987138
06073005802,Census Tract 58.02; San Diego County; California,2830.0,41.0,0.0,14.487632508833922,0.0,143182.0,1796.0,55.0,0.030623608017817373
06073005900,Census Tract 59; San Diego County; California,3187.0,56.0,68.0,17.571383746470033,21.336680263570756,87813.0,2087.0,408.0,0.195495927168184
06073006000,Census Tract 60; San Diego County; California,4431.0,110.0,99.0,24.825095915143308,22.34258632362898,99044.0,2458.0,259.0,0.10537021969080554
06073006100,Census Tract 61; San Diego County; California,2225.0,267.0,282.0,120.0,126.74157303370787,95655.0,1087.0,34.0,0.031278748850046
06073006200,Census Tract 62; San Diego County; California,31.0,0.0,8.0,0.0,258.06451612903226,,0.0,0.0,
06073006300,Census Tract 63; San Diego County; California,2490.0,33.0,1141.0,13.25301204819277,458.2329317269076,,0.0,0.0,
06073006500,Census Tract 65; San Diego County; California,3554.0,329.0,135.0,92.57175014068655,37.98536859876196,69057.0,1594.0,518.0,0.32496863237139273
06073006600,Census Tract 66; San Diego County; California,2001.0,454.0,191.0,226.88655672163918,95.45227386306847,101250.0,476.0,10.0,0.02100840336134454
06073006801,Census Tract 68.01; San Diego County; California,3299.0,295.0,109.0,89.42103667778115,33.04031524704456,90531.0,1569.0,79.0,0.05035054174633524
06073006802,Census Tract 68.02; San Diego County; California,6017.0,346.0,299.0,57.50373940501911,49.69253780953964,89634.0,2741.0,276.0,0.10069317767238234
06073006900,Census Tract 69; San Diego County; California,5878.0,1110.0,739.0,188.8397414086424,125.723035045934,140768.0,2098.0,23.0,0.0109628217349857
06073007002,Census Tract 70.02; San Diego County; California,3170.0,382.0,285.0,120.50473186119874,89.90536277602524,179239.0,1270.0,71.0,0.05590551181102362
06073007100,Census Tract 71; San Diego County; California,4296.0,361.0,217.0,84.0316573556797,50.512104283054,148464.0,2091.0,43.0,0.020564323290291727
06073007200,Census Tract 72; San Diego County; California,5809.0,665.0,1636.0,114.47753485970047,281.6319504217593,177039.0,1523.0,43.0,0.028233749179251477
06073007302,Census Tract 73.02; San Diego County; California,2741.0,611.0,524.0,222.91134622400583,191.17110543597227,179449.0,987.0,13.0,0.013171225937183385
06073007303,Census Tract 73.03; San Diego County; California,1712.0,92.0,106.0,53.73831775700935,61.91588785046729,115000.0,922.0,7.0,0.007592190889370932
06073007304,Census Tract 73.04; San Diego County; California,3620.0,94.0,112.0,25.96685082872928,30.939226519337016,104311.0,2039.0,103.0,0.05051495831289848
06073007401,Census Tract 74.01; San Diego County; California,2745.0,298.0,152.0,108.56102003642987,55.373406193078324,81477.0,1413.0,104.0,0.07360226468506724
06073007402,Census Tract 74.02; San Diego County; California,3806.0,357.0,222.0,93.79926431949553,58.32895428271151,131159.0,1577.0,61.0,0.03868103994927077
06073007501,Census Tract 75.01; San Diego County; California,4160.0,114.0,34.0,27.403846153846153,8.173076923076923,83750.0,2162.0,207.0,0.09574468085106383
06073007502,Census Tract 75.02; San Diego County; California,3010.0,140.0,87.0,46.51162790697674,28.903654485049834,84550.0,1745.0,119.0,0.06819484240687679
06073007601,Census Tract 76.01; San Diego County; California,1750.0,54.0,22.0,30.857142857142858,12.571428571428571,93785.0,1035.0,68.0,0.06570048309178744
06073007602,Census Tract 76.02; San Diego County; California,1435.0,0.0,12.0,0.0,8.362369337979095,129764.0,927.0,112.0,0.12081984897518878
06073007701,Census Tract 77.01; San Diego County; California,4243.0,185.0,135.0,43.60122554796135,31.81711053499882,126346.0,2070.0,62.0,0.02995169082125604
06073007702,Census Tract 77.02; San Diego County; California,3188.0,138.0,136.0,43.28732747804266,42.659974905897116,109414.0,1743.0,53.0,0.030407343660355707
06073007800,Census Tract 78; San Diego County; California,5939.0,852.0,645.0,143.45849469607677,108.60414211146657,105938.0,2682.0,33.0,0.012304250559284116
06073007905,Census Tract 79.05; San Diego County; California,2557.0,161.0,94.0,62.964411419632384,36.76183026984748,120074.0,1379.0,72.0,0.05221174764321972
06073007907,Census Tract 79.07; San Diego County; California,3167.0,124.0,98.0,39.15377328702242,30.944111146195137,115660.0,1609.0,80.0,0.049720323182100686
06073007908,Census Tract 79.08; San Diego County; California,3285.0,98.0,123.0,29.832572298325722,37.44292237442922,89936.0,1617.0,81.0,0.05009276437847866
06073007910,Census Tract 79.10; San Diego County; California,2832.0,79.0,94.0,27.8954802259887,33.19209039548023,100227.0,1546.0,67.0,0.04333764553686934
06073007911,Census Tract 79.11; San Diego County; California,2347.0,87.0,105.0,37.06859821048147,44.73796335747763,115134.0,1333.0,147.0,0.11027756939234809
06073007912,Census Tract 79.12; San Diego County; California,1795.0,71.0,49.0,39.55431754874652,27.298050139275766,113724.0,951.0,51.0,0.05362776025236593
06073008002,Census Tract 80.02; San Diego County; California,2680.0,396.0,273.0,147.76119402985074,101.86567164179104,184653.0,1023.0,17.0,0.016617790811339198
06073008003,Census Tract 80.03; San Diego County; California,3440.0,189.0,113.0,54.94186046511628,32.848837209302324,158704.0,1880.0,73.0,0.038829787234042554
06073008006,Census Tract 80.06; San Diego County; California,4039.0,379.0,261.0,93.83510769992573,64.6199554345135,131125.0,1835.0,40.0,0.021798365122615803
06073008101,Census Tract 81.01; San Diego County; California,3696.0,241.0,176.0,65.2056277056277,47.61904761904762,104457.0,1830.0,38.0,0.020765027322404372
06073008102,Census Tract 81.02; San Diego County; California,3367.0,497.0,457.0,147.6091476091476,135.72913572913572,188545.0,1303.0,21.0,0.016116653875671526
06073008201,Census Tract 82.01; San Diego County; California,1763.0,99.0,45.0,56.154282473057286,25.524673851389675,129688.0,879.0,60.0,0.06825938566552901
06073008202,Census Tract 82.02; San Diego County; California,1196.0,28.0,14.0,23.411371237458194,11.705685618729097,105094.0,659.0,249.0,0.37784522003034904
06073008301,Census Tract 83.01; San Diego County; California,3461.0,483.0,266.0,139.55504189540596,76.85639988442647,230962.0,1300.0,37.0,0.02846153846153846
