GEOID,NAME,pop_total,youth_5_17,youth_10_19,youth_5_17_per_1k,youth_10_19_per_1k,median_hh_income_2023usd,households_total,households_zero_veh,zero_veh_share,services_total,library_count,ymca_count,rec_center_count,youth_org_count,stops_in_tract,stops_within_500m_per_tract,stops_within_500m_of_services,services_within_0_6mi,avg_distance_to_nearest_service_km,distance_to_nearest_library_km,distance_to_nearest_rec_center_km,distance_to_nearest_ymca_km,services_per_1k_youth_10_19,services_per_1k_youth_5_17,stops_within_500m_per_1k_youth,desert_flag,income_quintile
06073008701,87.01,3320.0,453.0,312.0,136.44578313253012,93.97590361445783,78516.0,1223.0,13.0,0.0106295993458708,2,0,0,1,0,12,50,8,2,0.0,,0.0,,6.41025641025641,4.415011037527594,160.25641025641028,0,Low
06073008702,87.02,5220.0,593.0,669.0,113.6015325670498,128.16091954022988,111025.0,1716.0,150.0,0.0874125874125874,0,0,0,0,0,23,45,0,0,0.2474690360000979,,0.9630334749752356,,0.0,0.0,67.26457399103138,0,Middle
06073017305,173.05,3344.0,434.0,386.0,129.7846889952153,115.43062200956938,168889.0,1326.0,16.0,0.0120663650075414,0,0,0,0,0,0,4,0,0,4.79171878922892,,6.256678958098445,,0.0,0.0,10.362694300518134,0,Highest
06073018621,186.21,1979.0,467.0,418.0,235.977766548762,211.2177867609904,115250.0,567.0,25.0,0.0440917107583774,0,0,0,0,0,10,28,0,0,35.846027417381904,,36.57969569755524,,0.0,0.0,66.98564593301435,0,Middle
06073009108,91.08,2064.0,284.0,187.0,137.5968992248062,90.60077519379846,88654.0,898.0,12.0,0.0133630289532293,0,0,0,0,0,18,29,0,2,0.0385230758241715,,0.0480514214587948,,0.0,0.0,155.08021390374333,0,Low
06073017069,170.69,2337.0,453.0,407.0,193.8382541720154,174.15489944373127,186625.0,801.0,15.0,0.0187265917602996,0,0,0,0,0,3,11,0,0,1.2208009765885552,,4.215561039531445,,0.0,0.0,27.027027027027028,0,Highest
06073003901,39.01,4381.0,943.0,818.0,215.2476603515179,186.71536178954577,67459.0,1068.0,89.0,0.0833333333333333,1,0,0,0,0,9,32,11,7,0.0,,0.3576508402130683,,1.2224938875305624,1.0604453870625663,39.119804400978,0,Lowest
06073003902,39.02,4257.0,894.0,637.0,210.00704721634955,149.63589382194033,53750.0,1378.0,336.0,0.2438316400580551,3,0,0,1,0,15,45,9,5,0.0,,0.0,,4.7095761381475665,3.3557046979865772,70.64364207221351,0,Lowest
06073003902,39.02,4257.0,894.0,637.0,210.00704721634955,149.63589382194033,53750.0,1378.0,336.0,0.2438316400580551,3,0,0,1,0,15,45,9,5,0.0,,0.0,,4.7095761381475665,3.3557046979865772,70.64364207221351,0,Lowest
06073003902,39.02,4257.0,894.0,637.0,210.00704721634955,149.63589382194033,53750.0,1378.0,336.0,0.2438316400580551,3,0,0,1,0,15,45,9,5,0.0,,0.0,,4.7095761381475665,3.3557046979865772,70.64364207221351,0,Lowest
06073004000,40.0,4151.0,939.0,815.0,226.21055167429537,196.3382317513852,53643.0,1206.0,71.0,0.0588723051409618,4,0,0,1,0,11,35,22,5,0.0,,0.0,,4.9079754601226995,4.259850905218317,42.944785276073624,0,Lowest
06073004000,40.0,4151.0,939.0,815.0,226.21055167429537,196.3382317513852,53643.0,1206.0,71.0,0.0588723051409618,4,0,0,1,0,11,35,22,5,0.0,,0.0,,4.9079754601226995,4.259850905218317,42.944785276073624,0,Lowest
06073004000,40.0,4151.0,939.0,815.0,226.21055167429537,196.3382317513852,53643.0,1206.0,71.0,0.0588723051409618,4,0,0,1,0,11,35,22,5,0.0,,0.0,,4.9079754601226995,4.259850905218317,42.944785276073624,0,Lowest
